Order_ID,Order_Date,Order_Month,Month_Name,Order_Day,Day_of_Week,Customer_ID,Customer_Name,City,Region,Membership_Type,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Total_Sales,Payment_Method,Order_Status,Price_Category,Quantity_Type
O0001,2026-02-19,2,February,19,Thursday,C027,Harsh Vardhan,Noida,North,Premium,P019,Cricket Bat,Sports,BatPro,2499,2,4998,Credit Card,Delivered,High,Normal Order
O0002,2026-01-25,1,January,25,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,P003,Wireless Mouse,Electronics,TechGear,899,2,1798,Debit Card,Delivered,Low,Normal Order
O0003,2026-02-26,2,February,26,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,P004,Smart Watch,Electronics,FitTech,3299,1,3299,Cash on Delivery,Delivered,High,Normal Order
O0004,2026-03-04,3,March,4,Wednesday,C024,Maryam Khan,Hyderabad,South,Regular,P015,Machine Learning Basics,Books,AIPress,999,3,2997,Net Banking,Delivered,Low,Bulk Order
O0005,2026-03-29,3,March,29,Sunday,C025,Reyansh Jain,Kolkata,East,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,5,17495,Credit Card,Delivered,High,Bulk Order
O0006,2026-02-09,2,February,9,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P018,Football,Sports,SportZone,799,3,2397,UPI,Delivered,Low,Bulk Order
O0007,2026-02-10,2,February,10,Tuesday,C011,Vivaan Kapoor,Jaipur,North,New,P003,Wireless Mouse,Electronics,TechGear,899,3,2697,UPI,Delivered,Low,Bulk Order
O0008,2026-03-27,3,March,27,Friday,C020,Priya Menon,Chennai,South,Premium,P005,Power Bank,Electronics,VoltPlus,1199,4,4796,Debit Card,Delivered,Low,Bulk Order
O0009,2026-03-13,3,March,13,Friday,C024,Maryam Khan,Hyderabad,South,Regular,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,2,6998,UPI,Cancelled,High,Normal Order
O0010,2026-03-05,3,March,5,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Debit Card,Shipped,Low,Normal Order
O0011,2026-01-26,1,January,26,Monday,C022,Alina Shah,Pune,West,New,P020,Dumbbell Set,Sports,StrongFit,1999,2,3998,Net Banking,Cancelled,Low,Normal Order
O0012,2026-02-03,2,February,3,Tuesday,C017,Dev Patel,Ahmedabad,West,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Credit Card,Delivered,High,Bulk Order
O0013,2026-03-22,3,March,22,Sunday,C005,Kabir Ali,Lucknow,North,New,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,3,10497,Cash on Delivery,Delivered,High,Bulk Order
O0014,2026-02-20,2,February,20,Friday,C007,Aditya Verma,Pune,West,Regular,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,4,5996,UPI,Shipped,Low,Bulk Order
O0015,2026-02-16,2,February,16,Monday,C027,Harsh Vardhan,Noida,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,Credit Card,Cancelled,High,Bulk Order
O0016,2026-02-25,2,February,25,Wednesday,C011,Vivaan Kapoor,Jaipur,North,New,P008,Sneakers,Clothing,StepUp,2999,3,8997,UPI,Delivered,High,Bulk Order
O0017,2026-02-27,2,February,27,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Delivered,High,Bulk Order
O0018,2026-01-05,1,January,5,Monday,C003,Rohan Mehta,Mumbai,West,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Cancelled,High,Bulk Order
O0019,2026-03-05,3,March,5,Thursday,C019,Yusuf Dar,Srinagar,North,New,P017,Yoga Mat,Sports,FitLife,899,4,3596,Net Banking,Delivered,Low,Bulk Order
O0020,2026-02-06,2,February,6,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,3,2097,Credit Card,Delivered,Low,Bulk Order
O0021,2026-01-09,1,January,9,Friday,C026,Fatima Noor,Srinagar,North,Regular,P019,Cricket Bat,Sports,BatPro,2499,1,2499,Debit Card,Cancelled,High,Normal Order
O0022,2026-01-02,1,January,2,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,P014,Data Science Handbook,Books,DataPress,899,4,3596,Net Banking,Delivered,Low,Bulk Order
O0023,2026-02-04,2,February,4,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P013,Python Programming,Books,TechBooks,749,3,2247,Debit Card,Delivered,Low,Bulk Order
O0024,2026-02-20,2,February,20,Friday,C030,Riya Kapoor,Bengaluru,South,Premium,P001,Wireless Headphones,Electronics,SoundMax,1499,4,5996,Net Banking,Delivered,Low,Bulk Order
O0025,2026-01-22,1,January,22,Thursday,C026,Fatima Noor,Srinagar,North,Regular,P008,Sneakers,Clothing,StepUp,2999,2,5998,Cash on Delivery,Cancelled,High,Normal Order
O0026,2026-01-28,1,January,28,Wednesday,C015,Karan Joshi,Chandigarh,North,Regular,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,UPI,Delivered,Low,Normal Order
O0027,2026-01-11,1,January,11,Sunday,C002,Zoya Khan,Delhi,North,Regular,P008,Sneakers,Clothing,StepUp,2999,1,2999,Cash on Delivery,Shipped,High,Normal Order
O0028,2026-01-07,1,January,7,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,UPI,Delivered,High,Bulk Order
O0029,2026-01-15,1,January,15,Thursday,C005,Kabir Ali,Lucknow,North,New,P017,Yoga Mat,Sports,FitLife,899,1,899,Cash on Delivery,Cancelled,Low,Normal Order
O0030,2026-03-05,3,March,5,Thursday,C017,Dev Patel,Ahmedabad,West,Premium,P010,Electric Kettle,Home & Kitchen,KitchenPro,1499,3,4497,Net Banking,Shipped,Low,Bulk Order
O0031,2026-03-24,3,March,24,Tuesday,C013,Rahul Das,Kolkata,East,Regular,P014,Data Science Handbook,Books,DataPress,899,2,1798,Debit Card,Delivered,Low,Normal Order
O0032,2026-01-25,1,January,25,Sunday,C017,Dev Patel,Ahmedabad,West,Premium,P005,Power Bank,Electronics,VoltPlus,1199,2,2398,Credit Card,Shipped,Low,Normal Order
O0033,2026-02-13,2,February,13,Friday,C010,Mehak Bhat,Srinagar,North,Premium,P008,Sneakers,Clothing,StepUp,2999,5,14995,Credit Card,Delivered,High,Bulk Order
O0034,2026-01-13,1,January,13,Tuesday,C010,Mehak Bhat,Srinagar,North,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,5,9995,Credit Card,Delivered,Low,Bulk Order
O0035,2026-03-01,3,March,1,Sunday,C003,Rohan Mehta,Mumbai,West,Premium,P007,Jacket,Clothing,NorthStyle,2499,2,4998,Net Banking,Cancelled,High,Normal Order
O0036,2026-03-14,3,March,14,Saturday,C026,Fatima Noor,Srinagar,North,Regular,P016,Atomic Habits,Books,MindReads,599,5,2995,Debit Card,Shipped,Low,Bulk Order
